ID,Poster,Comedy,Family,Crime,Drama,Mystery,Action,Adventure,Sci-Fi,Romance,News,Talk-Show,Horror,Thriller,Western,Animation,Fantasy,War,Music,Sport,Musical,Short,Game-Show,Reality-TV,Documentary,History,Biography
42114,https://m.media-amazon.com/images/M/MV5BMTMyNDM3Mjk2OV5BMl5BanBnXkFtZTcwMjE2MjEyMQ@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43194,https://m.media-amazon.com/images/M/MV5BZGFjZDAwYjQtZGFkOS00OTc4LTgwMTgtNjk5MjA5M2FmNDU5XkEyXkFqcGdeQXVyMTk0MjQ3Nzk@.jpg,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43208,https://m.media-amazon.com/images/M/MV5BNDhhN2Y1NzMtNGVlZS00MTNjLWIxN2ItYzJiN2ZhMTc2OGIwXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43224,https://m.media-amazon.com/images/M/MV5BMTMyMzA4NDQ5N15BMl5BanBnXkFtZTcwNTAyNjQzMQ@@.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44229,https://m.media-amazon.com/images/M/MV5BMzMxNTY5MjYzNF5BMl5BanBnXkFtZTcwMTgxNDEzMw@@.jpg,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44230,https://m.media-amazon.com/images/M/MV5BMTM1NjI1MTYwN15BMl5BanBnXkFtZTcwNjUxODE0MQ@@.jpg,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44231,https://m.media-amazon.com/images/M/MV5BZmYwMzY4OWMtZmYxMC00M2VmLWFlZDgtMWEyY2IzNDdjNWRmXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44265,https://m.media-amazon.com/images/M/MV5BMTQxMjA1NDY2NV5BMl5BanBnXkFtZTcwNTQzMTczMQ@@.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44298,https://m.media-amazon.com/images/M/MV5BZGUxMTc3ZWQtMWNhZS00YjgxLWFjNGEtOTk0ZDcxN2UwNGNjXkEyXkFqcGdeQXVyNjE4MDA0Mjg@.jpg,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45410,https://m.media-amazon.com/images/M/MV5BMTk4OTQzMjQ2NF5BMl5BanBnXkFtZTcwMDg0MjE2MQ@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46593,https://m.media-amazon.com/images/M/MV5BNzEzMzQzMDc0Nl5BMl5BanBnXkFtZTcwMTk5ODczMQ@@.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46600,https://m.media-amazon.com/images/M/MV5BMTQzODY3MTE5Ml5BMl5BanBnXkFtZTgwNzcxNjIxMzE@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46617,https://m.media-amazon.com/images/M/MV5BMTY4OTQwMTQyNl5BMl5BanBnXkFtZTcwMDE4ODYyMQ@@.jpg,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47708,https://m.media-amazon.com/images/M/MV5BOWQ1OGI0ZTItOTNkYi00NWFhLWE3ZWYtODVmMjkzMmM1NDYwXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47718,https://m.media-amazon.com/images/M/MV5BMTg5MTA5OTY0OV5BMl5BanBnXkFtZTYwNTE4MDI2.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47720,https://m.media-amazon.com/images/M/MV5BMTU4NDkyNTg5MV5BMl5BanBnXkFtZTcwMDUyMTcxMQ@@.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47736,https://m.media-amazon.com/images/M/MV5BMTcxMDcxODk2MF5BMl5BanBnXkFtZTcwMTM3MDU1MQ@@.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47739,https://m.media-amazon.com/images/M/MV5BYTQ2ZmY0MjUtYjA5ZC00M2VmLWI3YWQtNGFiYjI0ZGYwMDA3XkEyXkFqcGdeQXVyNTA4NzExMDg@.jpg,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47763,https://m.media-amazon.com/images/M/MV5BMTI0MjYzMDE3MF5BMl5BanBnXkFtZTcwNDE2MjA0MQ@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48845,https://m.media-amazon.com/images/M/MV5BMTIzMDE2NDU4Ml5BMl5BanBnXkFtZTcwNjQzMTczMQ@@.jpg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022,https://m.media-amazon.com/images/M/MV5BMTc3MTg3ODIzM15BMl5BanBnXkFtZTcwMzgyODkyMQ@@.jpg,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50025,https://m.media-amazon.com/images/M/MV5BM2U2MjVmZTAtZTgyMC00NTVkLWFiZjctZTQyZWFlZjJlOGQzXkEyXkFqcGdeQXVyNzg5MzIyOA@@.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50032,https://m.media-amazon.com/images/M/MV5BMTI3OTM0MzY3M15BMl5BanBnXkFtZTcwNzY3NzQyMw@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50033,https://m.media-amazon.com/images/M/MV5BMTU5NTczNjc4NF5BMl5BanBnXkFtZTcwNTU2OTIyMQ@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50037,https://m.media-amazon.com/images/M/MV5BMTIwMDg5ODg5MV5BMl5BanBnXkFtZTYwODU1Mjg4.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50051,https://m.media-amazon.com/images/M/MV5BZjEzYmZkYWYtNjM2ZC00OTg0LWI5MWMtYWU0OWE3OTQ0N2M0XkEyXkFqcGdeQXVyMTYzMDM0NTU@.jpg,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50053,https://m.media-amazon.com/images/M/MV5BMjE4NDg3MTY5NF5BMl5BanBnXkFtZTcwODM2MDUyMQ@@.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50073,https://m.media-amazon.com/images/M/MV5BMjAxMDIxMzU1NF5BMl5BanBnXkFtZTcwMzk0MzcyMQ@@.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50079,https://m.media-amazon.com/images/M/MV5BMTU1ODUyNjM0OF5BMl5BanBnXkFtZTcwNTEwNTQ4Mg@@.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51247,https://m.media-amazon.com/images/M/MV5BYzJjMjRmMzUtNzk3Yi00MzI4LTgzYWMtZDFkYWE3NDlhNGU0XkEyXkFqcGdeQXVyNzkzODA4NzI@.jpg,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
